,ini,-0.09,-0.22,-0.71,-1.5,-2.5,-3.5,-4.5
1,0.004166465,0.0007567,0.001838,0.003978,0.004166,0.004166,0.004166,0.004166
1,0.004166465,0.0007567,0.001838,0.003978,0.004166,0.004166,0.004166,0.004166
1,0.00380998,0.00069195,0.00168,0.0036375,0.00381,0.00381,0.00381,0.00381
1,0.00380998,0.00069195,0.00168,0.0036375,0.00381,0.00381,0.00381,0.00381
1,0.00380998,0.00069195,0.00168,0.0036375,0.00381,0.00381,0.00381,0.00381
1,0.004751465,0.00086295,0.002096,0.004537,0.004752,0.004752,0.004752,0.004752
1,0.004751465,0.00086295,0.002096,0.004537,0.004752,0.004752,0.004752,0.004752
1,0.00468748,0.0008513,0.002068,0.0044755,0.004687,0.004687,0.004687,0.004687
1,0.00468748,0.0008513,0.002068,0.0044755,0.004687,0.004687,0.004687,0.004687
1,0.00468748,0.0008513,0.002068,0.0044755,0.004687,0.004687,0.004687,0.004687
1,0.004458965,0.0008098,0.001967,0.0042575,0.004459,0.004459,0.004459,0.004459
1,0.004458965,0.0008098,0.001967,0.0042575,0.004459,0.004459,0.004459,0.004459
1,0.00410248,0.00074505,0.00181,0.003917,0.004103,0.004103,0.004103,0.004103
1,0.00410248,0.00074505,0.00181,0.003917,0.004103,0.004103,0.004103,0.004103
1,0.00410248,0.00074505,0.00181,0.003917,0.004103,0.004103,0.004103,0.004103
1,0.003873965,0.0007036,0.001709,0.003699,0.003874,0.003874,0.003874,0.003874
1,0.003873965,0.0007036,0.001709,0.003699,0.003874,0.003874,0.003874,0.003874
1,0.00395623,0.0007185,0.001745,0.0037775,0.003956,0.003956,0.003956,0.003956
1,0.00395623,0.0007185,0.001745,0.0037775,0.003956,0.003956,0.003956,0.003956
1,0.00395623,0.0007185,0.001745,0.0037775,0.003956,0.003956,0.003956,0.003956
1,0.004312715,0.0007832,0.001902,0.0041175,0.004313,0.004313,0.004313,0.004313
1,0.004312715,0.0007832,0.001902,0.0041175,0.004313,0.004313,0.004313,0.004313
1,0.00454123,0.00082475,0.002003,0.004336,0.004541,0.004541,0.004541,0.004541
1,0.00454123,0.00082475,0.002003,0.004336,0.004541,0.004541,0.004541,0.004541
1,0.00454123,0.00082475,0.002003,0.004336,0.004541,0.004541,0.004541,0.004541
1,0.004897715,0.0008895,0.00216,0.0046765,0.004898,0.004898,0.004898,0.004898
1,0.004897715,0.0008895,0.00216,0.0046765,0.004898,0.004898,0.004898,0.004898
