 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 4.    Time:  11:31:16
 Units: L = cm   , T = sec  , M = g    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  257      5.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  258      5.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  259      5.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  260      5.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  261      5.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  262      5.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  263      5.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  264      5.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  265      5.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  266      5.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  267      5.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  268      5.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  269      5.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  270      5.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  271      5.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  272      5.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  273      5.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  274      5.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  275      5.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  276      5.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  277      5.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  278      5.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  279      5.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
